===== Bridge Crossings (19) =====
Chameleon Packages, -99906.0, 166601.0, 4246.0
Chameleon Packages, -96307.99, 155090.22, 5301.0
Chameleon Packages, -120485.0, 168079.0, 7111.0
Chameleon Packages, -122173.77, 158307.5, 8191.0
Chameleon Packages, -132943.0, 174791.0, 6710.0
Chameleon Packages, -116188.0, 154204.0, 5960.0
Chameleon Packages, -132528.0, 165273.0, 6650.0
Chameleon Packages, -122406.0, 168503.0, 6697.0
Chameleon Packages, -127157.8, 172982.92, 6623.0
Chameleon Packages, -126133.82, 188026.28, 6727.0
Chameleon Packages, -130246.8, 183895.19, 6635.0
Chameleon Packages, -132943.0, 177632.0, 7119.0
Chameleon Packages, -142383.0, 164174.0, 7527.0
Chameleon Packages, -131263.0, 152930.0, 6773.0
Chameleon Packages, -86681.02, 158663.33, 3659.0
Chameleon Packages, -142659.0, 165560.0, 6942.0
Chameleon Packages, -115685.42, 154151.72, 5831.0
Chameleon Packages, -125689.0, 187518.0, 7177.0
Chameleon Packages, -89954.64, 131951.66, 9570.0

===== Unheard Shores (3) =====
Chameleon Packages, -149937.56, 220863.34, 11702.0
Chameleon Packages, -135214.0, 206577.0, 10319.0
Chameleon Packages, -192910.1, 215582.47, 17929.143

===== Illusion Town (20) =====
Chameleon Packages, -148020.2, 139229.45, 7121.0
Chameleon Packages, -169903.0, 110007.0, 7231.0
Chameleon Packages, -147308.0, 96467.0, 7310.0
Chameleon Packages, -116812.875, 59466.055, 7436.0
Chameleon Packages, -94916.21, 90675.97, 6904.682
Chameleon Packages, -176545.38, 117603.96, 7180.0
Chameleon Packages, -173592.12, 119585.15, 7160.0
Chameleon Packages, -158573.4, 116689.74, 7168.0
Chameleon Packages, -168509.0, 110431.0, 7218.0
Chameleon Packages, -147698.6, 96339.56, 7313.0
Chameleon Packages, -123549.22, 69699.92, 7514.0
Chameleon Packages, -112227.0, 63461.0, 7524.0
Chameleon Packages, -94134.0, 75146.0, 6759.0
Chameleon Packages, -132429.0, 102625.0, 7332.0
Chameleon Packages, -132429.0, 102625.0, 7332.0
Chameleon Packages, -167644.0, 131398.0, 7277.0
Chameleon Packages, -123402.0, 70095.0, 7593.0
Chameleon Packages, -138418.0, 126473.0, 6776.0
Chameleon Packages, -176555.0, 123155.0, 7162.0
Chameleon Packages, -123696.03, 50454.66, 7853.0

===== Miguel District (10) =====
Chameleon Packages, -77241.0, 47615.0, 7802.0
Chameleon Packages, 11717.0, 49511.0, 8321.0
Chameleon Packages, -46504.0, -11601.0, 7912.0
Chameleon Packages, -39386.0, 23213.0, 7841.0
Chameleon Packages, -16777.0, 49486.0, 7820.0
Chameleon Packages, 23159.0, 21712.0, 7632.0
Chameleon Packages, -82269.0, 4730.0, 8476.0
Chameleon Packages, -75502.0, 42722.0, 7787.0
Chameleon Packages, -34123.0, 33068.0, 7780.0
Chameleon Packages, -21429.545, 6299.1294, 8930.0

===== New Herland District (10) =====
Chameleon Packages, -65723.61, 84555.83, 6221.76
Chameleon Packages, 27299.0, 118534.0, 7177.0
Chameleon Packages, 20564.0, 58829.0, 6355.0
Chameleon Packages, -10990.0, 119511.0, 6960.0
Chameleon Packages, -13795.0, 92652.0, 6411.0
Chameleon Packages, 33384.0, 84548.0, 6391.0
Chameleon Packages, -18896.0, 76105.0, 6514.0
Chameleon Packages, 43857.0, 118715.0, 7084.0
Chameleon Packages, -32252.0, 144049.0, 4841.0
Chameleon Packages, -7137.19, 104409.69, 7223.0
